year,state_name,state_code,population_total,population_65plus,percent_65plus,hospitals_count,beds_public_total,hospitals_per_100k,beds_per_1000
2001,Australian Capital Territory,ACT,321538.0,27535.0,8.563529038558428,,,,
2002,Australian Capital Territory,ACT,324627.0,28326.0,8.725706734190316,,,,
2003,Australian Capital Territory,ACT,327357.0,29235.0,8.930617032780725,,,,
2004,Australian Capital Territory,ACT,328940.0,30037.0,9.131452544536996,,,,
2005,Australian Capital Territory,ACT,331399.0,31030.0,9.363335435532392,,,,
2006,Australian Capital Territory,ACT,335170.0,32004.0,9.5485872840648,,,,
2007,Australian Capital Territory,ACT,342644.0,33315.0,9.72291941490293,,,,
2008,Australian Capital Territory,ACT,348368.0,34477.0,9.896718412712993,,,,
2009,Australian Capital Territory,ACT,354785.0,35759.0,10.079061967106838,,,,
2010,Australian Capital Territory,ACT,361766.0,37262.0,10.30002819502109,,,,
2011,Australian Capital Territory,ACT,367985.0,38886.0,10.5672785575499,,,,
2012,Australian Capital Territory,ACT,376539.0,41209.0,10.944151867402846,,,,
2013,Australian Capital Territory,ACT,383257.0,43358.0,11.313035378349252,,,,
2014,Australian Capital Territory,ACT,388799.0,45451.0,11.690102083595894,,,,
2015,Australian Capital Territory,ACT,395813.0,47585.0,12.022091240055278,,,,
2016,Australian Capital Territory,ACT,403104.0,49572.0,12.297570850202428,,,,
2017,Australian Capital Territory,ACT,415046.0,51741.0,12.466329033408345,,,,
2018,Australian Capital Territory,ACT,426081.0,53828.0,12.6332786488954,,,,
2019,Australian Capital Territory,ACT,435730.0,55873.0,12.822849012002846,,,,
2020,Australian Capital Territory,ACT,444903.0,58336.0,13.112071620105956,,,,
2021,Australian Capital Territory,ACT,452508.0,60396.0,13.346946352329685,,,,
2022,Australian Capital Territory,ACT,456915.0,62084.0,13.587647593097184,,,,
2023,Australian Capital Territory,ACT,466359.0,63907.0,13.703391593171784,,,,
2024,Australian Capital Territory,ACT,473855.0,65896.0,13.906363761066148,3.0,,,
2001,Australia,AUS,19274701.0,2419070.0,12.550493001162508,,,,
2002,Australia,AUS,19495210.0,2465669.0,12.647563170645508,,,,
2003,Australia,AUS,19720737.0,2511327.0,12.7344480076987,,,,
2004,Australia,AUS,19932722.0,2558857.0,12.837468961840736,,,,
2005,Australia,AUS,20176844.0,2611879.0,12.944933310680304,,,,
2006,Australia,AUS,20450966.0,2664064.0,13.02659248467774,,,,
